Frequency      Real             Image
3.501e+010    -3.136571e-002    -8.061718e-003 
3.507e+010    -3.080263e-002    -8.282996e-003 
3.514e+010    -2.999342e-002    -7.654301e-003 
3.521e+010    -2.917235e-002    -7.613419e-003 
3.528e+010    -2.890673e-002    -7.078515e-003 
3.534e+010    -2.804023e-002    -7.207887e-003 
3.541e+010    -2.761203e-002    -6.492758e-003 
3.548e+010    -2.730316e-002    -6.413910e-003 
3.555e+010    -2.686150e-002    -6.079222e-003 
3.561e+010    -2.612576e-002    -5.551517e-003 
3.568e+010    -2.605134e-002    -5.379671e-003 
3.575e+010    -2.566100e-002    -4.913543e-003 
3.582e+010    -2.482578e-002    -4.712394e-003 
3.588e+010    -2.498022e-002    -4.241998e-003 
3.595e+010    -2.419887e-002    -3.932594e-003 
3.602e+010    -2.388686e-002    -4.086543e-003 
3.609e+010    -2.362854e-002    -3.397356e-003 
3.615e+010    -2.290001e-002    -3.300592e-003 
3.622e+010    -2.277482e-002    -2.980722e-003 
3.629e+010    -2.223921e-002    -2.668090e-003 
3.636e+010    -2.191788e-002    -2.381700e-003 
3.642e+010    -2.178477e-002    -2.045064e-003 
3.649e+010    -2.134066e-002    -1.703249e-003 
3.656e+010    -2.110894e-002    -1.456843e-003 
3.663e+010    -2.070846e-002    -1.090277e-003 
3.669e+010    -2.051469e-002    -1.032046e-003 
3.676e+010    -2.013709e-002    -7.088562e-004 
3.683e+010    -2.017084e-002    -9.018436e-004 
3.690e+010    -1.984206e-002    -4.035114e-004 
3.696e+010    -1.956486e-002    -1.908923e-004 
3.703e+010    -1.952280e-002    1.622956e-004 
3.710e+010    -1.925280e-002    3.719657e-004 
3.717e+010    -1.893066e-002    1.419888e-004 
3.723e+010    -1.921289e-002    5.436086e-004 
3.730e+010    -1.857565e-002    3.823915e-004 
3.737e+010    -1.888161e-002    7.933798e-004 
3.744e+010    -1.868172e-002    1.088602e-003 
3.750e+010    -1.856648e-002    1.215619e-003 
3.757e+010    -1.868328e-002    1.421043e-003 
3.764e+010    -1.837110e-002    2.070802e-003 
3.771e+010    -1.850976e-002    1.916368e-003 
3.777e+010    -1.793164e-002    2.848953e-003 
3.784e+010    -1.813066e-002    2.987214e-003 
3.791e+010    -1.763991e-002    3.231562e-003 
3.798e+010    -1.758858e-002    3.480885e-003 
3.804e+010    -1.701335e-002    3.837841e-003 
3.811e+010    -1.695670e-002    4.239005e-003 
3.818e+010    -1.644444e-002    4.322965e-003 
3.825e+010    -1.592472e-002    4.640354e-003 
3.831e+010    -1.586486e-002    4.578182e-003 
3.838e+010    -1.530245e-002    4.924602e-003 
3.845e+010    -1.496901e-002    4.758958e-003 
3.852e+010    -1.473869e-002    5.286031e-003 
3.858e+010    -1.449012e-002    4.866279e-003 
3.865e+010    -1.434706e-002    4.919870e-003 
3.872e+010    -1.403976e-002    5.043450e-003 
3.879e+010    -1.396199e-002    5.034468e-003 
3.885e+010    -1.388652e-002    5.261682e-003 
3.892e+010    -1.341486e-002    5.184214e-003 
3.899e+010    -1.354886e-002    5.342584e-003 
3.906e+010    -1.314767e-002    5.278254e-003 
3.912e+010    -1.284704e-002    5.237574e-003 
3.919e+010    -1.292919e-002    5.534525e-003 
3.926e+010    -1.276835e-002    5.262797e-003 
3.933e+010    -1.282475e-002    5.311381e-003 
3.939e+010    -1.250034e-002    5.644812e-003 
3.946e+010    -1.286402e-002    5.594386e-003 
3.953e+010    -1.243509e-002    5.610719e-003 
3.960e+010    -1.241069e-002    5.892243e-003 
3.966e+010    -1.245683e-002    6.025859e-003 
3.973e+010    -1.216025e-002    6.035460e-003 
3.980e+010    -1.208739e-002    6.007971e-003 
3.987e+010    -1.181655e-002    6.706492e-003 
3.993e+010    -1.216162e-002    6.137902e-003 
4.000e+010    -1.153258e-002    6.808481e-003 
