Frequency      Real             Image
2.650e+010    -9.848547e-001    -1.566572e-002 
2.657e+010    -9.847755e-001    -1.610871e-002 
2.664e+010    -9.847255e-001    -1.624762e-002 
2.670e+010    -9.846137e-001    -1.659231e-002 
2.677e+010    -9.845137e-001    -1.690538e-002 
2.684e+010    -9.844276e-001    -1.715523e-002 
2.691e+010    -9.842761e-001    -1.735363e-002 
2.697e+010    -9.841396e-001    -1.778387e-002 
2.704e+010    -9.839522e-001    -1.820313e-002 
2.711e+010    -9.839091e-001    -1.855366e-002 
2.718e+010    -9.838252e-001    -1.914068e-002 
2.724e+010    -9.838003e-001    -1.957231e-002 
2.731e+010    -9.838118e-001    -1.982974e-002 
2.738e+010    -9.837280e-001    -2.031753e-002 
2.745e+010    -9.835398e-001    -2.075271e-002 
2.751e+010    -9.835359e-001    -2.121585e-002 
2.758e+010    -9.835148e-001    -2.167836e-002 
2.765e+010    -9.832973e-001    -2.217992e-002 
2.772e+010    -9.832948e-001    -2.275269e-002 
2.778e+010    -9.833772e-001    -2.326398e-002 
2.785e+010    -9.835197e-001    -2.381089e-002 
2.792e+010    -9.835863e-001    -2.440546e-002 
2.799e+010    -9.834670e-001    -2.476365e-002 
2.805e+010    -9.837760e-001    -2.506100e-002 
2.812e+010    -9.836827e-001    -2.547739e-002 
2.819e+010    -9.834339e-001    -2.594838e-002 
2.826e+010    -9.834942e-001    -2.624862e-002 
2.832e+010    -9.835511e-001    -2.698877e-002 
2.839e+010    -9.831469e-001    -2.738075e-002 
2.846e+010    -9.831727e-001    -2.784760e-002 
2.853e+010    -9.833753e-001    -2.849045e-002 
2.859e+010    -9.832987e-001    -2.897411e-002 
2.866e+010    -9.829240e-001    -2.943318e-002 
2.873e+010    -9.832388e-001    -2.990656e-002 
2.880e+010    -9.828257e-001    -3.062997e-002 
2.886e+010    -9.826655e-001    -3.091657e-002 
2.893e+010    -9.824609e-001    -3.153277e-002 
2.900e+010    -9.826277e-001    -3.206568e-002 
2.907e+010    -9.821685e-001    -3.310616e-002 
2.913e+010    -9.821150e-001    -3.364867e-002 
2.920e+010    -9.824678e-001    -3.441625e-002 
2.927e+010    -9.822022e-001    -3.491644e-002 
2.934e+010    -9.818611e-001    -3.602682e-002 
2.940e+010    -9.817155e-001    -3.621631e-002 
2.947e+010    -9.824885e-001    -3.752190e-002 
2.954e+010    -9.818710e-001    -3.783004e-002 
2.961e+010    -9.825414e-001    -3.876204e-002 
2.967e+010    -9.829981e-001    -3.916346e-002 
2.974e+010    -9.831612e-001    -4.052345e-002 
2.981e+010    -9.814765e-001    -4.107187e-002 
