Frequency      Real             Image
2.988e+010    -9.829903e-001    -4.029960e-002 
2.994e+010    -9.812484e-001    -4.302858e-002 
3.001e+010    -9.808311e-001    -4.314525e-002 
3.008e+010    -9.790885e-001    -4.505495e-002 
3.015e+010    -9.798657e-001    -4.512592e-002 
3.021e+010    -9.795192e-001    -4.916888e-002 
3.028e+010    -9.769916e-001    -4.957671e-002 
3.035e+010    -9.795530e-001    -5.168583e-002 
3.042e+010    -9.776526e-001    -5.220060e-002 
3.048e+010    -9.778394e-001    -5.490329e-002 
3.055e+010    -9.759371e-001    -5.400523e-002 
3.062e+010    -9.775105e-001    -5.553098e-002 
3.069e+010    -9.751552e-001    -5.756725e-002 
3.075e+010    -9.752135e-001    -5.820632e-002 
3.082e+010    -9.740174e-001    -6.016023e-002 
3.089e+010    -9.740463e-001    -6.303838e-002 
3.096e+010    -9.716554e-001    -6.486969e-002 
3.102e+010    -9.715160e-001    -6.545979e-002 
3.109e+010    -9.696867e-001    -6.997905e-002 
3.116e+010    -9.737534e-001    -7.347512e-002 
3.123e+010    -9.726943e-001    -7.706093e-002 
3.129e+010    -9.717675e-001    -7.992295e-002 
3.136e+010    -9.696689e-001    -8.634295e-002 
3.143e+010    -9.674043e-001    -8.785488e-002 
3.150e+010    -9.667169e-001    -9.263561e-002 
3.156e+010    -9.628884e-001    -9.845366e-002 
3.163e+010    -9.587432e-001    -1.018079e-001 
3.170e+010    -9.532716e-001    -1.060162e-001 
3.177e+010    -9.493400e-001    -1.138771e-001 
3.183e+010    -9.371904e-001    -1.192768e-001 
3.190e+010    -9.293279e-001    -1.240602e-001 
3.197e+010    -9.158190e-001    -1.313845e-001 
3.204e+010    -8.977309e-001    -1.374543e-001 
3.210e+010    -8.768301e-001    -1.419930e-001 
3.217e+010    -8.517295e-001    -1.419337e-001 
3.224e+010    -8.194845e-001    -1.391491e-001 
3.231e+010    -7.854720e-001    -1.248567e-001 
3.237e+010    -7.500109e-001    -9.496647e-002 
3.244e+010    -7.262983e-001    -5.250973e-002 
3.251e+010    -7.168790e-001    1.319226e-003 
3.258e+010    -7.331710e-001    5.588327e-002 
3.264e+010    -7.645272e-001    9.440875e-002 
3.271e+010    -7.997500e-001    1.170640e-001 
3.278e+010    -8.359693e-001    1.310289e-001 
3.285e+010    -8.675202e-001    1.306730e-001 
3.291e+010    -8.901922e-001    1.286028e-001 
3.298e+010    -9.107906e-001    1.241771e-001 
3.305e+010    -9.257479e-001    1.160429e-001 
3.312e+010    -9.377725e-001    1.085518e-001 
3.318e+010    -9.462465e-001    1.018897e-001 
3.325e+010    -9.565052e-001    9.448404e-002 
3.332e+010    -9.619270e-001    8.948306e-002 
3.339e+010    -9.675081e-001    8.264219e-002 
3.345e+010    -9.718087e-001    7.893790e-002 
3.352e+010    -9.761203e-001    7.463544e-002 
3.359e+010    -9.777922e-001    6.953806e-002 
3.366e+010    -9.802463e-001    6.769442e-002 
3.372e+010    -9.820346e-001    6.256027e-002 
3.379e+010    -9.848385e-001    5.914299e-002 
3.386e+010    -9.846891e-001    5.608234e-002 
3.393e+010    -9.875650e-001    5.336714e-002 
3.399e+010    -9.879567e-001    5.053041e-002 
3.406e+010    -9.884691e-001    4.832717e-002 
3.413e+010    -9.897748e-001    4.632793e-002 
3.420e+010    -9.909373e-001    4.391946e-002 
3.426e+010    -9.915540e-001    4.137799e-002 
3.433e+010    -9.922205e-001    4.022475e-002 
3.440e+010    -9.934187e-001    3.820829e-002 
3.447e+010    -9.938318e-001    3.651138e-002 
3.453e+010    -9.947400e-001    3.537877e-002 
3.460e+010    -9.957124e-001    3.430055e-002 
3.467e+010    -9.959528e-001    3.261871e-002 
3.474e+010    -9.967806e-001    3.196776e-002 
3.480e+010    -9.971740e-001    3.071905e-002 
3.487e+010    -9.974190e-001    2.971150e-002 
3.494e+010    -9.980359e-001    2.900094e-002 
3.501e+010    -9.984663e-001    2.813677e-002 
3.507e+010    -9.988323e-001    2.726383e-002 
3.514e+010    -9.993429e-001    2.704618e-002 
3.521e+010    -9.998661e-001    2.605968e-002 
3.528e+010    -1.000057e+000    2.576800e-002 
3.534e+010    -1.000505e+000    2.498032e-002 
3.541e+010    -1.000660e+000    2.484069e-002 
3.548e+010    -1.000811e+000    2.436869e-002 
3.555e+010    -1.001321e+000    2.409399e-002 
3.561e+010    -1.001028e+000    2.366718e-002 
3.568e+010    -1.001286e+000    2.349975e-002 
3.575e+010    -1.001633e+000    2.332705e-002 
3.582e+010    -1.001319e+000    2.263721e-002 
3.588e+010    -1.001831e+000    2.295505e-002 
3.595e+010    -1.001765e+000    2.260673e-002 
3.602e+010    -1.002012e+000    2.210557e-002 
3.609e+010    -1.002008e+000    2.248784e-002 
3.615e+010    -1.001946e+000    2.179574e-002 
3.622e+010    -1.001876e+000    2.168046e-002 
3.629e+010    -1.001714e+000    2.165157e-002 
3.636e+010    -1.001695e+000    2.134651e-002 
3.642e+010    -1.001430e+000    2.124806e-002 
3.649e+010    -1.001253e+000    2.112028e-002 
3.656e+010    -1.001111e+000    2.079291e-002 
3.663e+010    -1.000763e+000    2.055456e-002 
3.669e+010    -1.000711e+000    2.034962e-002 
3.676e+010    -1.000580e+000    2.016288e-002 
3.683e+010    -1.000774e+000    2.008877e-002 
3.690e+010    -1.000592e+000    2.006850e-002 
3.696e+010    -1.000312e+000    1.973398e-002 
3.703e+010    -9.999304e-001    1.971842e-002 
3.710e+010    -9.998088e-001    1.948538e-002 
3.717e+010    -9.997584e-001    1.911027e-002 
3.723e+010    -9.998457e-001    1.923108e-002 
3.730e+010    -9.997674e-001    1.883475e-002 
3.737e+010    -9.994745e-001    1.875480e-002 
3.744e+010    -9.990478e-001    1.865076e-002 
3.750e+010    -9.987755e-001    1.843685e-002 
3.757e+010    -9.985754e-001    1.822544e-002 
3.764e+010    -9.983653e-001    1.813854e-002 
3.771e+010    -9.983677e-001    1.775221e-002 
3.777e+010    -9.977450e-001    1.754367e-002 
3.784e+010    -9.976342e-001    1.737507e-002 
3.791e+010    -9.974242e-001    1.710742e-002 
3.798e+010    -9.973669e-001    1.685355e-002 
3.804e+010    -9.970891e-001    1.648184e-002 
3.811e+010    -9.969852e-001    1.615879e-002 
3.818e+010    -9.968533e-001    1.566191e-002 
3.825e+010    -9.967826e-001    1.539398e-002 
3.831e+010    -9.968562e-001    1.501543e-002 
3.838e+010    -9.966123e-001    1.461356e-002 
3.845e+010    -9.965078e-001    1.410129e-002 
3.852e+010    -9.965257e-001    1.397320e-002 
3.858e+010    -9.967020e-001    1.353213e-002 
3.865e+010    -9.967991e-001    1.325515e-002 
3.872e+010    -9.968264e-001    1.303768e-002 
3.879e+010    -9.967619e-001    1.269625e-002 
3.885e+010    -9.967959e-001    1.262102e-002 
3.892e+010    -9.968434e-001    1.231763e-002 
3.899e+010    -9.970382e-001    1.205321e-002 
3.906e+010    -9.971698e-001    1.168583e-002 
3.912e+010    -9.973048e-001    1.133550e-002 
3.919e+010    -9.974353e-001    1.126790e-002 
3.926e+010    -9.976080e-001    1.104493e-002 
3.933e+010    -9.977472e-001    1.093054e-002 
3.939e+010    -9.976928e-001    1.088061e-002 
3.946e+010    -9.979895e-001    1.074210e-002 
3.953e+010    -9.979357e-001    1.060726e-002 
3.960e+010    -9.980445e-001    1.054824e-002 
3.966e+010    -9.981711e-001    1.042376e-002 
3.973e+010    -9.982564e-001    1.022898e-002 
3.980e+010    -9.983362e-001    1.016687e-002 
3.987e+010    -9.983998e-001    1.019032e-002 
3.993e+010    -9.986439e-001    1.000478e-002 
4.000e+010    -9.985776e-001    1.003777e-002 
