Frequency      Real             Image
2.650e+010    -8.922404e-003    1.282877e-002 
2.657e+010    -9.138977e-003    1.320434e-002 
2.664e+010    -8.865340e-003    1.347210e-002 
2.670e+010    -8.993774e-003    1.384707e-002 
2.677e+010    -8.851468e-003    1.430513e-002 
2.684e+010    -8.955938e-003    1.466677e-002 
2.691e+010    -8.915718e-003    1.483171e-002 
2.697e+010    -8.734600e-003    1.554291e-002 
2.704e+010    -8.919201e-003    1.596037e-002 
2.711e+010    -8.694877e-003    1.624468e-002 
2.718e+010    -8.412462e-003    1.690097e-002 
2.724e+010    -8.665282e-003    1.755413e-002 
2.731e+010    -8.323776e-003    1.755608e-002 
2.738e+010    -8.036786e-003    1.854693e-002 
2.745e+010    -8.070824e-003    1.884414e-002 
2.751e+010    -7.704918e-003    1.922671e-002 
2.758e+010    -7.423360e-003    1.986892e-002 
2.765e+010    -7.167258e-003    2.027033e-002 
2.772e+010    -7.053918e-003    2.063508e-002 
2.778e+010    -6.544826e-003    2.120949e-002 
2.785e+010    -6.254941e-003    2.141503e-002 
2.792e+010    -6.177460e-003    2.223101e-002 
2.799e+010    -5.964981e-003    2.228307e-002 
2.805e+010    -5.220009e-003    2.290918e-002 
2.812e+010    -5.676383e-003    2.356182e-002 
2.819e+010    -4.988808e-003    2.388938e-002 
2.826e+010    -4.674033e-003    2.442800e-002 
2.832e+010    -4.654538e-003    2.551321e-002 
2.839e+010    -4.305250e-003    2.568757e-002 
2.846e+010    -3.375938e-003    2.647913e-002 
2.853e+010    -3.628933e-003    2.737528e-002 
2.859e+010    -2.399811e-003    2.768739e-002 
2.866e+010    -2.224702e-003    2.838131e-002 
2.873e+010    -1.131817e-003    2.887162e-002 
2.880e+010    -1.067007e-003    2.977065e-002 
2.886e+010    -2.616388e-005    2.951480e-002 
2.893e+010    4.104705e-004    3.083696e-002 
2.900e+010    9.557392e-004    3.087303e-002 
2.907e+010    1.178542e-003    3.147606e-002 
2.913e+010    2.429785e-003    3.152849e-002 
2.920e+010    2.631374e-003    3.333675e-002 
2.927e+010    2.604709e-003    3.223012e-002 
2.934e+010    4.454290e-003    3.413132e-002 
2.940e+010    3.770781e-003    3.439190e-002 
2.947e+010    5.082779e-003    3.530584e-002 
2.954e+010    5.792597e-003    3.554633e-002 
2.961e+010    7.154783e-003    3.693139e-002 
