Frequency      Real             Image
2.967e+010    6.703933e-003    3.695083e-002 
2.974e+010    9.538322e-003    3.794307e-002 
2.981e+010    9.140942e-003    3.818752e-002 
2.988e+010    1.061325e-002    3.946154e-002 
2.994e+010    1.107950e-002    3.930195e-002 
3.001e+010    1.285885e-002    3.977126e-002 
3.008e+010    1.254327e-002    4.233799e-002 
3.015e+010    1.454502e-002    4.042555e-002 
3.021e+010    1.501759e-002    4.240475e-002 
3.028e+010    1.650243e-002    4.344643e-002 
3.035e+010    1.596115e-002    4.375910e-002 
3.042e+010    1.779093e-002    4.424378e-002 
3.048e+010    1.904588e-002    4.749403e-002 
3.055e+010    1.885727e-002    4.641619e-002 
3.062e+010    2.079217e-002    4.935599e-002 
3.069e+010    2.223080e-002    5.034431e-002 
3.075e+010    2.311226e-002    5.198445e-002 
3.082e+010    2.384703e-002    5.334095e-002 
3.089e+010    2.734212e-002    5.483903e-002 
3.096e+010    2.658724e-002    5.739181e-002 
3.102e+010    2.941225e-002    5.915498e-002 
3.109e+010    3.155254e-002    6.012290e-002 
3.116e+010    3.230847e-002    6.353310e-002 
3.123e+010    3.249072e-002    6.527380e-002 
3.129e+010    3.657191e-002    6.629782e-002 
3.136e+010    3.595799e-002    7.168947e-002 
3.143e+010    3.709305e-002    7.427826e-002 
3.150e+010    4.011997e-002    7.798259e-002 
3.156e+010    3.937113e-002    8.394672e-002 
3.163e+010    4.241892e-002    9.086781e-002 
3.170e+010    4.294375e-002    9.479513e-002 
3.177e+010    4.399573e-002    1.062515e-001 
3.183e+010    4.472724e-002    1.147883e-001 
3.190e+010    4.370952e-002    1.257152e-001 
3.197e+010    4.153502e-002    1.407999e-001 
3.204e+010    3.969634e-002    1.583764e-001 
3.210e+010    2.895512e-002    1.732703e-001 
3.217e+010    1.861704e-002    1.986313e-001 
3.224e+010    -5.913423e-003    2.197605e-001 
3.231e+010    -3.666970e-002    2.354181e-001 
3.237e+010    -8.061161e-002    2.445328e-001 
3.244e+010    -1.292229e-001    2.333083e-001 
3.251e+010    -1.713934e-001    2.006972e-001 
3.258e+010    -1.949990e-001    1.584710e-001 
3.264e+010    -2.016524e-001    1.130196e-001 
3.271e+010    -1.952843e-001    7.736286e-002 
3.278e+010    -1.803346e-001    5.078596e-002 
3.285e+010    -1.642082e-001    2.974842e-002 
3.291e+010    -1.514607e-001    1.823586e-002 
3.298e+010    -1.361433e-001    8.880155e-003 
3.305e+010    -1.229150e-001    2.488560e-003 
3.312e+010    -1.151875e-001    -7.311443e-004 
3.318e+010    -1.032538e-001    -5.166885e-003 
3.325e+010    -9.611686e-002    -5.437427e-003 
3.332e+010    -9.035361e-002    -6.445609e-003 
3.339e+010    -8.248830e-002    -7.890337e-003 
3.345e+010    -7.847400e-002    -7.203869e-003 
3.352e+010    -7.327405e-002    -7.048108e-003 
3.359e+010    -6.874318e-002    -8.763938e-003 
3.366e+010    -6.528755e-002    -5.878790e-003 
3.372e+010    -6.162673e-002    -7.745646e-003 
3.379e+010    -5.890575e-002    -5.928263e-003 
3.386e+010    -5.544144e-002    -5.982132e-003 
3.393e+010    -5.226986e-002    -5.946979e-003 
3.399e+010    -5.111032e-002    -4.210156e-003 
3.406e+010    -4.736638e-002    -5.609773e-003 
3.413e+010    -4.614892e-002    -4.888436e-003 
3.420e+010    -4.442836e-002    -4.015421e-003 
3.426e+010    -4.256570e-002    -5.395409e-003 
3.433e+010    -4.013669e-002    -3.797317e-003 
3.440e+010    -4.004706e-002    -3.327998e-003 
3.447e+010    -3.787148e-002    -4.583989e-003 
3.453e+010    -3.712063e-002    -3.833274e-003 
3.460e+010    -3.596866e-002    -3.466942e-003 
3.467e+010    -3.495516e-002    -4.131316e-003 
3.474e+010    -3.504059e-002    -2.902455e-003 
3.480e+010    -3.347500e-002    -3.173395e-003 
3.487e+010    -3.284768e-002    -2.999921e-003 
3.494e+010    -3.246652e-002    -1.614812e-003 
3.501e+010    -3.071045e-002    -2.172490e-003 
3.507e+010    -3.095188e-002    -1.387604e-003 
3.514e+010    -2.966669e-002    -9.120668e-004 
3.521e+010    -2.874443e-002    -1.266769e-003 
3.528e+010    -2.831519e-002    -3.857721e-004 
3.534e+010    -2.762520e-002    -5.673453e-004 
3.541e+010    -2.637424e-002    -4.535592e-004 
3.548e+010    -2.664181e-002    -2.776234e-004 
3.555e+010    -2.547487e-002    -1.399515e-004 
3.561e+010    -2.496107e-002    -2.107170e-004 
3.568e+010    -2.506833e-002    1.044911e-004 
3.575e+010    -2.407522e-002    4.636095e-004 
3.582e+010    -2.387053e-002    -1.138673e-005 
3.588e+010    -2.391231e-002    1.061281e-003 
3.595e+010    -2.267953e-002    6.524184e-004 
3.602e+010    -2.333566e-002    9.664644e-004 
3.609e+010    -2.221056e-002    1.310588e-003 
3.615e+010    -2.192953e-002    1.385443e-003 
3.622e+010    -2.190906e-002    1.297654e-003 
3.629e+010    -2.121355e-002    1.970128e-003 
3.636e+010    -2.095352e-002    1.756592e-003 
3.642e+010    -2.068924e-002    2.150850e-003 
3.649e+010    -2.026830e-002    2.229511e-003 
3.656e+010    -1.984068e-002    2.594045e-003 
3.663e+010    -1.977388e-002    2.110362e-003 
3.669e+010    -1.930015e-002    3.055613e-003 
3.676e+010    -1.923635e-002    2.386352e-003 
3.683e+010    -1.900312e-002    3.069748e-003 
3.690e+010    -1.866839e-002    3.082833e-003 
3.696e+010    -1.868371e-002    2.807389e-003 
3.703e+010    -1.831817e-002    3.436549e-003 
3.710e+010    -1.805650e-002    3.456295e-003 
3.717e+010    -1.853642e-002    3.305443e-003 
3.723e+010    -1.784697e-002    4.123747e-003 
3.730e+010    -1.796754e-002    3.909489e-003 
3.737e+010    -1.787730e-002    4.108749e-003 
3.744e+010    -1.765750e-002    4.562021e-003 
3.750e+010    -1.725398e-002    4.650283e-003 
3.757e+010    -1.758445e-002    4.859444e-003 
3.764e+010    -1.701931e-002    5.454559e-003 
3.771e+010    -1.673790e-002    5.539296e-003 
3.777e+010    -1.654381e-002    5.667503e-003 
3.784e+010    -1.653022e-002    5.913460e-003 
3.791e+010    -1.588782e-002    6.064469e-003 
3.798e+010    -1.600126e-002    6.677779e-003 
3.804e+010    -1.541937e-002    6.305112e-003 
3.811e+010    -1.530932e-002    6.732131e-003 
3.818e+010    -1.509996e-002    6.843104e-003 
3.825e+010    -1.492954e-002    6.930151e-003 
3.831e+010    -1.432609e-002    7.095839e-003 
3.838e+010    -1.439724e-002    7.371908e-003 
3.845e+010    -1.416012e-002    7.310025e-003 
3.852e+010    -1.373300e-002    7.634022e-003 
3.858e+010    -1.360665e-002    7.605801e-003 
3.865e+010    -1.333072e-002    7.824567e-003 
3.872e+010    -1.313406e-002    7.592281e-003 
3.879e+010    -1.311791e-002    7.817760e-003 
3.885e+010    -1.277189e-002    7.922661e-003 
3.892e+010    -1.279326e-002    7.759971e-003 
3.899e+010    -1.229529e-002    8.026744e-003 
3.906e+010    -1.206102e-002    8.017235e-003 
3.912e+010    -1.204364e-002    7.781981e-003 
3.919e+010    -1.162091e-002    7.818185e-003 
3.926e+010    -1.171797e-002    7.872867e-003 
3.933e+010    -1.174405e-002    7.664726e-003 
3.939e+010    -1.147377e-002    7.731778e-003 
3.946e+010    -1.143125e-002    7.844508e-003 
3.953e+010    -1.161205e-002    7.461485e-003 
3.960e+010    -1.131666e-002    7.845427e-003 
3.966e+010    -1.119428e-002    7.628790e-003 
3.973e+010    -1.150455e-002    7.790340e-003 
3.980e+010    -1.127462e-002    7.746854e-003 
3.987e+010    -1.118484e-002    7.763823e-003 
3.993e+010    -1.143874e-002    8.131966e-003 
4.000e+010    -1.130433e-002    7.966677e-003 
