Frequency      Real             Image
2.650e+010    -9.852930e-001    -1.789294e-002 
2.657e+010    -9.852115e-001    -1.778345e-002 
2.664e+010    -9.854792e-001    -1.859155e-002 
2.670e+010    -9.849254e-001    -1.897462e-002 
2.677e+010    -9.852397e-001    -1.904545e-002 
2.684e+010    -9.850340e-001    -2.006427e-002 
2.691e+010    -9.846759e-001    -1.986291e-002 
2.697e+010    -9.850361e-001    -2.058234e-002 
2.704e+010    -9.845148e-001    -2.152684e-002 
2.711e+010    -9.846768e-001    -2.130281e-002 
2.718e+010    -9.848744e-001    -2.256628e-002 
2.724e+010    -9.842644e-001    -2.300275e-002 
2.731e+010    -9.848338e-001    -2.310858e-002 
2.738e+010    -9.847320e-001    -2.463277e-002 
2.745e+010    -9.845372e-001    -2.449753e-002 
2.751e+010    -9.852795e-001    -2.526549e-002 
2.758e+010    -9.849634e-001    -2.638878e-002 
2.765e+010    -9.851913e-001    -2.600496e-002 
2.772e+010    -9.857263e-001    -2.722976e-002 
2.778e+010    -9.853740e-001    -2.770498e-002 
2.785e+010    -9.860622e-001    -2.756350e-002 
2.792e+010    -9.859890e-001    -2.888785e-002 
2.799e+010    -9.857920e-001    -2.869939e-002 
2.805e+010    -9.866526e-001    -2.931579e-002 
2.812e+010    -9.861270e-001    -3.030188e-002 
2.819e+010    -9.864383e-001    -3.025311e-002 
2.826e+010    -9.868612e-001    -3.144615e-002 
2.832e+010    -9.862294e-001    -3.200900e-002 
2.839e+010    -9.869313e-001    -3.247412e-002 
2.846e+010    -9.872027e-001    -3.401721e-002 
2.853e+010    -9.869149e-001    -3.392863e-002 
2.859e+010    -9.881709e-001    -3.523503e-002 
2.866e+010    -9.881364e-001    -3.618148e-002 
2.873e+010    -9.888669e-001    -3.602588e-002 
2.880e+010    -9.894579e-001    -3.777636e-002 
2.886e+010    -9.897715e-001    -3.759219e-002 
2.893e+010    -9.902871e-001    -3.811550e-002 
2.900e+010    -9.906826e-001    -3.940412e-002 
2.907e+010    -9.905608e-001    -3.889901e-002 
2.913e+010    -9.917595e-001    -3.980450e-002 
2.920e+010    -9.912114e-001    -4.127516e-002 
2.927e+010    -9.915272e-001    -4.014289e-002 
2.934e+010    -9.925340e-001    -4.246256e-002 
2.940e+010    -9.915357e-001    -4.256253e-002 
