Frequency      Real             Image
2.947e+010    -9.927708e-001    -4.323822e-002 
2.954e+010    -9.931186e-001    -4.463507e-002 
2.961e+010    -9.932896e-001    -4.518338e-002 
2.967e+010    -9.939414e-001    -4.609625e-002 
2.974e+010    -9.954569e-001    -4.768727e-002 
2.981e+010    -9.951159e-001    -4.738528e-002 
2.988e+010    -9.969329e-001    -4.987957e-002 
2.994e+010    -9.962498e-001    -4.912489e-002 
3.001e+010    -9.985050e-001    -4.968804e-002 
3.008e+010    -9.974200e-001    -5.338167e-002 
3.015e+010    -9.991238e-001    -5.013646e-002 
3.021e+010    -9.991681e-001    -5.349798e-002 
3.028e+010    -1.000222e+000    -5.384959e-002 
3.035e+010    -9.985538e-001    -5.432571e-002 
3.042e+010    -9.999606e-001    -5.474254e-002 
3.048e+010    -9.999035e-001    -5.755118e-002 
3.055e+010    -9.993024e-001    -5.682975e-002 
3.062e+010    -9.996204e-001    -6.047163e-002 
3.069e+010    -9.998965e-001    -5.993287e-002 
3.075e+010    -1.000135e+000    -6.342145e-002 
3.082e+010    -9.985832e-001    -6.441144e-002 
3.089e+010    -1.001520e+000    -6.538740e-002 
3.096e+010    -9.990148e-001    -6.978010e-002 
3.102e+010    -9.998249e-001    -7.035913e-002 
3.109e+010    -1.001252e+000    -7.193208e-002 
3.116e+010    -1.003091e+000    -7.560598e-002 
3.123e+010    -1.001400e+000    -7.628634e-002 
3.129e+010    -1.004516e+000    -7.815170e-002 
3.136e+010    -1.000389e+000    -8.309601e-002 
3.143e+010    -9.998922e-001    -8.453488e-002 
3.150e+010    -1.000140e+000    -8.941601e-002 
3.156e+010    -9.952131e-001    -9.346821e-002 
3.163e+010    -9.960323e-001    -9.987409e-002 
3.170e+010    -9.903664e-001    -1.029634e-001 
3.177e+010    -9.875727e-001    -1.124358e-001 
3.183e+010    -9.822735e-001    -1.193115e-001 
3.190e+010    -9.731090e-001    -1.262615e-001 
3.197e+010    -9.650179e-001    -1.362283e-001 
3.204e+010    -9.530690e-001    -1.475337e-001 
3.210e+010    -9.333803e-001    -1.531907e-001 
3.217e+010    -9.146526e-001    -1.650268e-001 
3.224e+010    -8.812713e-001    -1.681501e-001 
3.231e+010    -8.484543e-001    -1.599417e-001 
3.237e+010    -8.085005e-001    -1.450080e-001 
3.244e+010    -7.787476e-001    -1.022186e-001 
3.251e+010    -7.649580e-001    -5.533223e-002 
3.258e+010    -7.692244e-001    -7.084446e-003 
3.264e+010    -7.967452e-001    3.344011e-002 
3.271e+010    -8.210787e-001    5.396063e-002 
3.278e+010    -8.485724e-001    6.908004e-002 
3.285e+010    -8.772093e-001    7.214435e-002 
3.291e+010    -8.906838e-001    7.278679e-002 
3.298e+010    -9.102890e-001    7.296085e-002 
3.305e+010    -9.238514e-001    6.743151e-002 
3.312e+010    -9.308119e-001    6.557655e-002 
3.318e+010    -9.434905e-001    6.245131e-002 
3.325e+010    -9.478622e-001    5.734878e-002 
3.332e+010    -9.535093e-001    5.590557e-002 
3.339e+010    -9.602540e-001    5.143044e-002 
3.345e+010    -9.617331e-001    4.894631e-002 
3.352e+010    -9.677865e-001    4.638629e-002 
3.359e+010    -9.699228e-001    4.320477e-002 
3.366e+010    -9.724096e-001    4.154265e-002 
3.372e+010    -9.760557e-001    3.930146e-002 
3.379e+010    -9.763711e-001    3.645802e-002 
3.386e+010    -9.794005e-001    3.618771e-002 
3.393e+010    -9.812586e-001    3.266771e-002 
3.399e+010    -9.806886e-001    3.194133e-002 
3.406e+010    -9.850608e-001    3.148358e-002 
3.413e+010    -9.849385e-001    2.809266e-002 
3.420e+010    -9.849459e-001    2.929898e-002 
3.426e+010    -9.887795e-001    2.764739e-002 
3.433e+010    -9.869034e-001    2.479275e-002 
3.440e+010    -9.873850e-001    2.547740e-002 
3.447e+010    -9.906735e-001    2.477876e-002 
3.453e+010    -9.901729e-001    2.213066e-002 
3.460e+010    -9.920832e-001    2.293547e-002 
3.467e+010    -9.922764e-001    2.190789e-002 
3.474e+010    -9.922031e-001    2.204083e-002 
3.480e+010    -9.942697e-001    2.182694e-002 
3.487e+010    -9.932938e-001    2.049107e-002 
3.494e+010    -9.937305e-001    2.063259e-002 
3.501e+010    -9.953570e-001    1.977100e-002 
3.507e+010    -9.939731e-001    1.892451e-002 
3.514e+010    -9.955052e-001    1.915940e-002 
3.521e+010    -9.961540e-001    1.790445e-002 
3.528e+010    -9.955061e-001    1.760087e-002 
3.534e+010    -9.968854e-001    1.740858e-002 
3.541e+010    -9.970428e-001    1.646303e-002 
3.548e+010    -9.969119e-001    1.650126e-002 
3.555e+010    -9.983453e-001    1.599716e-002 
3.561e+010    -9.978669e-001    1.566023e-002 
3.568e+010    -9.983276e-001    1.566748e-002 
3.575e+010    -9.991916e-001    1.521807e-002 
3.582e+010    -9.988225e-001    1.549297e-002 
3.588e+010    -9.995673e-001    1.483599e-002 
3.595e+010    -9.995197e-001    1.486364e-002 
3.602e+010    -9.994419e-001    1.464563e-002 
3.609e+010    -1.000080e+000    1.424385e-002 
3.615e+010    -9.997903e-001    1.406671e-002 
3.622e+010    -1.000248e+000    1.421220e-002 
3.629e+010    -1.000246e+000    1.360407e-002 
3.636e+010    -1.000088e+000    1.385923e-002 
3.642e+010    -1.000952e+000    1.349931e-002 
3.649e+010    -1.000325e+000    1.315211e-002 
3.656e+010    -1.000740e+000    1.339395e-002 
3.663e+010    -1.001152e+000    1.296866e-002 
3.669e+010    -1.000791e+000    1.288545e-002 
3.676e+010    -1.001297e+000    1.335555e-002 
3.683e+010    -1.001511e+000    1.255880e-002 
3.690e+010    -1.001115e+000    1.296600e-002 
3.696e+010    -1.001905e+000    1.303315e-002 
3.703e+010    -1.001749e+000    1.252075e-002 
3.710e+010    -1.001668e+000    1.310506e-002 
3.717e+010    -1.002047e+000    1.310927e-002 
3.723e+010    -1.001908e+000    1.288225e-002 
3.730e+010    -1.001955e+000    1.328197e-002 
3.737e+010    -1.002128e+000    1.313354e-002 
3.744e+010    -1.001871e+000    1.320011e-002 
3.750e+010    -1.002158e+000    1.336653e-002 
3.757e+010    -1.001688e+000    1.325073e-002 
3.764e+010    -1.001676e+000    1.354183e-002 
3.771e+010    -1.001815e+000    1.319787e-002 
3.777e+010    -1.001409e+000    1.328262e-002 
3.784e+010    -1.001559e+000    1.340094e-002 
3.791e+010    -1.001425e+000    1.301940e-002 
3.798e+010    -1.001103e+000    1.306874e-002 
3.804e+010    -1.001275e+000    1.317269e-002 
3.811e+010    -1.000914e+000    1.267602e-002 
3.818e+010    -1.001012e+000    1.291196e-002 
3.825e+010    -1.001159e+000    1.259615e-002 
3.831e+010    -1.000680e+000    1.249519e-002 
3.838e+010    -1.000899e+000    1.263429e-002 
3.845e+010    -1.000767e+000    1.222800e-002 
3.852e+010    -1.000532e+000    1.222588e-002 
3.858e+010    -1.000965e+000    1.220914e-002 
3.865e+010    -1.000689e+000    1.176533e-002 
3.872e+010    -1.000551e+000    1.211848e-002 
3.879e+010    -1.000885e+000    1.181314e-002 
3.885e+010    -1.000715e+000    1.152787e-002 
3.892e+010    -1.000896e+000    1.183287e-002 
3.899e+010    -1.001187e+000    1.140245e-002 
3.906e+010    -1.001011e+000    1.137646e-002 
3.912e+010    -1.001184e+000    1.141030e-002 
3.919e+010    -1.001250e+000    1.107568e-002 
3.926e+010    -1.001308e+000    1.120996e-002 
3.933e+010    -1.001529e+000    1.108664e-002 
3.939e+010    -1.001504e+000    1.092978e-002 
3.946e+010    -1.002003e+000    1.098663e-002 
3.953e+010    -1.002085e+000    1.088189e-002 
3.960e+010    -1.002230e+000    1.087552e-002 
3.966e+010    -1.002687e+000    1.104130e-002 
3.973e+010    -1.002582e+000    1.084109e-002 
3.980e+010    -1.002784e+000    1.117993e-002 
3.987e+010    -1.003063e+000    1.117212e-002 
3.993e+010    -1.002991e+000    1.113332e-002 
4.000e+010    -1.003308e+000    1.173001e-002 
