NO.	 Vo(V) 	  I(uA)
228	   -4.6	 -154.4
229	   -4.4	 -150.3
230	   -4.2	 -144.0
231	   -4.0	 -142.7
232	   -3.8	 -133.2
233	   -3.6	 -132.7
234	   -3.4	 -131.7
235	   -3.2	 -121.0
236	   -3.0	 -104.4
237	   -2.8	  -93.4
238	   -2.6	  -82.2
239	   -2.4	  -72.0
240	   -2.2	  -46.3
241	   -2.0	  -39.2
242	   -1.8	  -34.8
243	   -1.6	  -29.6
244	   -1.4	  -20.3
245	   -1.2	  -14.3
246	   -1.0	  -10.6
247	   -0.8	   -8.1
248	   -0.6	   -6.5
249	   -0.4	   -5.9
250	   -0.2	   -5.0
251	    0.0	   -4.5
252	    0.2	   -3.9
253	    0.4	   -2.5
254	    0.6	   -1.7
255	    0.8	   -1.1
256	    1.0	   -0.8
257	    1.2	   -0.7
258	    1.4	   -0.4
259	    1.6	   -0.4
260	    1.8	   -0.3
261	    2.0	    0.2
262	    2.2	    0.3
263	    2.4	    0.3
264	    2.6	    8.8
265	    2.8	   19.3
266	    3.0	   26.6
267	    3.2	   29.8
268	    3.4	   38.5
269	    3.6	   48.7
270	    3.8	   58.1
271	    4.0	   66.0
272	    4.2	   76.1
273	    4.4	   84.5
274	    4.6	   95.2
275	    4.8	  100.4
276	    5.0	  103.4
277	    5.2	  109.6
278	    5.4	  114.8
279	    5.6	  117.7
280	    5.8	  120.2
281	    6.0	  121.0
282	    6.2	  124.2
283	    6.4	  124.6
284	    6.6	  125.2
285	    6.8	  126.5
286	    7.0	  127.4
287	    7.2	  127.5
288	    7.4	  128.0
289	    7.6	  129.0
290	    7.8	  129.4
291	    8.0	  129.4
292	    8.2	  130.5
293	    8.4	  132.0
294	    8.6	  132.8
295	    8.8	  132.9
296	    9.0	  132.6
297	    9.2	  134.8
298	    9.4	  134.8
299	    9.6	  134.9
300	    9.8	  136.0
301	   10.0	  136.7
302	   10.2	  138.1
303	   10.4	  137.7
304	   10.6	  137.7
305	   10.8	  138.3
306	   11.0	  139.3
307	   11.2	  140.2
308	   11.4	  142.0
309	   11.6	  142.3
310	   11.8	  143.5
311	   12.0	  143.8
312	   12.2	  144.8
313	   12.4	  144.9
314	   12.6	  146.5
315	   12.8	  148.1
316	   13.0	  149.4
317	   13.2	  150.2
318	   13.4	  152.2
319	   13.6	  152.9
320	   13.8	  153.3
321	   14.0	  153.9
322	   14.2	  155.1
323	   14.4	  155.9
324	   14.6	  157.3
325	   14.8	  158.5
326	   15.0	  159.8
327	   15.2	  161.1
328	   15.4	  161.5
329	   15.6	  161.9
330	   15.8	  163.5
331	   16.0	  163.6
332	   16.2	  165.0
333	   16.4	  166.9
334	   16.6	  167.3
335	   16.8	  168.3
336	   17.0	  170.4
337	   17.2	  170.5
338	   17.4	  172.0
339	   17.6	  172.0
340	   17.8	  172.1
341	   18.0	  172.5
342	   18.2	  172.9
343	   18.4	  173.6
344	   18.6	  174.1
345	   18.8	  174.6
346	   19.0	  175.3
347	   19.2	  176.6
348	   19.4	  177.5
349	   19.6	  178.2
350	   19.8	  179.1
351	   20.0	  179.2
352	   20.2	  180.4
353	   20.4	  180.6
354	   20.6	  180.7
355	   20.8	  181.1
356	   21.0	  181.9
357	   21.2	  181.7
358	   21.4	  182.2
359	   21.6	  182.8
360	   21.8	  182.5
361	   22.0	  182.5
362	   22.2	  183.3
363	   22.4	  183.2
364	   22.6	  184.2
365	   22.8	  185.0
366	   23.0	  184.6
367	   23.2	  185.4
368	   23.4	  185.6
369	   23.6	  185.3
370	   23.8	  185.8
371	   24.0	  186.7
372	   24.2	  186.6
373	   24.4	  187.2
374	   24.6	  188.0
375	   24.8	  188.1
376	   25.0	  188.9
377	   25.2	  189.0
378	   25.4	  189.0
379	   25.6	  189.3
380	   25.8	  190.3
381	   26.0	  190.3
382	   26.2	  190.4
383	   26.4	  190.7
384	   26.6	  190.7
385	   26.8	  191.4
386	   27.0	  192.2
387	   27.2	  192.0
388	   27.4	  192.7
389	   27.6	  193.0
390	   27.8	  193.2
391	   28.0	  194.0
392	   28.2	  194.4
393	   28.4	  194.4
394	   28.6	  194.8
395	   28.8	  195.1
396	   29.0	  195.2
397	   29.2	  196.3
398	   29.4	  196.1
399	   29.6	  196.0
400	   29.8	  196.4
401	   30.0	  196.8
402	   30.2	  197.4
403	   30.4	  197.3
404	   30.6	  197.8
405	   30.8	  197.6
406	   31.0	  199.0
407	   31.2	  199.0
408	   31.4	  199.3
409	   31.6	  199.6
410	   31.8	  199.2
411	   32.0	  199.7
412	   32.2	  200.3
413	   32.4	  200.7
414	   32.6	  200.6
415	   32.8	  201.4
416	   33.0	  201.4
417	   33.2	  201.1
418	   33.4	  202.1
419	   33.6	  202.4
420	   33.8	  202.3
421	   34.0	  202.7
422	   34.2	  203.3
423	   34.4	  203.2
424	   34.6	  203.8
425	   34.8	  204.0
426	   35.0	  204.0
427	   35.2	  204.6
428	   35.4	  205.0
429	   35.6	  205.0
430	   35.8	  205.6
431	   36.0	  206.0
432	   36.2	  206.4
433	   36.4	  206.8
434	   36.6	  207.7
435	   36.8	  207.4
436	   37.0	  208.2
